name,type,lat,lng
PAY AND USE TOILET,toilet,22.5345767,88.3204144
Toilet,toilet,22.5344849,88.3324411
SBM TOILET,toilet,22.5399875,88.3199951
Kolkata Zoo Toilet,toilet,22.5373855,88.3334047
SBM TOILET,toilet,22.541638,88.31916
Public Toilet,toilet,22.5370325,88.3333366
BNR Public Toilet,toilet,22.5379331,88.3108544
Public toilet,toilet,22.5378534,88.3398255
Free toilet for both ladies and gents,toilet,22.5332148,88.3308667
Pay And Use Toilet,toilet,22.5188381,88.3220525
Free male Toilet Alipur Zoo,toilet,22.5370264,88.3333554
Zoo park Toilet,toilet,22.5406893,88.3308674
Community Toilet,toilet,22.5275376,88.3369525
ITC Mahila Shauchalya,toilet,22.5286454,88.3198767
Locality Toilet,toilet,22.5256285,88.3048917
PUBLIC TOILETS,toilet,22.5141208,88.3466795
Public Toilets,toilet,22.5109816,88.3461501
Male toilet Bathroom,toilet,22.5411244,88.3428441
Chupa chawan room,toilet,22.5254096,88.3270815
SBM TOILET,toilet,22.52696,88.33729
ITC Purush Shauchalya,toilet,22.5286222,88.3198537
Community Toilet,toilet,22.5257731,88.3054769
SBM TOILET,toilet,22.5221551,88.3318504
Alipore Museum Toilet,toilet,22.524716,88.3394253
Toilet Rangata,toilet,22.5433728,88.310562
Majerhat male toilet,toilet,22.51876,88.3221361
Toilet,toilet,22.5363413,88.3268628
The Calcutta Medical Research Institute Toilet,toilet,22.5321679,88.3271132
Pay&use toilet,toilet,22.520371,88.3408782
Pay & use Toilet,toilet,22.5143276,88.3925786
Pay & Use Toilet,toilet,22.4933828,88.3899139
SBM TOILET,toilet,22.5144,88.3926
SBM TOILET,toilet,22.5139,88.3805
Kasba RTO Public Toilet,toilet,22.5142295,88.400873
Kmc pay and use toilet,toilet,22.5138831,88.4013037
SBM TOILET,toilet,22.5195224,88.3811033
Bathkit A unit of Parryscare Kalikapur Branch,toilet,22.5024843,88.3926061
Hindware Brand Store - Paul Sanitary Forum,toilet,22.5129565,88.3871438
HOSTINI NITOMBO,toilet,22.5111794,88.380139
Pay and use toilet,toilet,22.5021884,88.3823063
Parrys Care,toilet,22.5128568,88.3999966
2 BHK 2 Bathroom Apartment AC near Acropolis Mall Kolkata,toilet,22.5076084,88.3884888
2 BHK 2 Bathroom Apartment AC near Acropolis Mall Kolkata,toilet,22.5076008,88.3884888
Municipality Toilet,toilet,22.5672064,88.3407323
Public Toilet,toilet,22.571457,88.3474931
SBM TOILET,toilet,22.5769491,88.3612153
Pay and use toilet,toilet,22.5813243,88.361054
Sulabh Sauchalay,toilet,22.5859329,88.3628048
Pay & use toilets,toilet,22.5825325,88.3489479
PAY & USE TOILET,toilet,22.5855405,88.352552
Sulabh Complex,toilet,22.5857873,88.3680468
Pay use toilet,toilet,22.5815914,88.3610648
Toilet,toilet,22.5835002,88.3505461
Swachh Public Toilet,toilet,22.5767827,88.3611364
Barnaparichay pay and use Toilet,toilet,22.5777066,88.3638641
Pay and Use Toilet,toilet,22.5898558,88.3656479
Public Toilet,toilet,22.5811561,88.3611407
Public Toilet,toilet,22.5710487,88.361614
Sulabh sauchalay,toilet,22.5812974,88.3609739
SBM TOILET,toilet,22.585633,88.367997
Sadharan Shouchalay,toilet,22.5795872,88.3623877
Urine pass,toilet,22.5801093,88.3570866
PUBLIC TOILET PAY AND USE,toilet,22.462515,88.379776
Das plambing werk,toilet,22.4623011,88.402036
Pay and Use Toilet,toilet,22.4911535,88.4050866
Public Toilet (Pay and Use),toilet,22.4673078,88.4035237
Pay & Use Toilet,toilet,22.4911201,88.4029142
Patuli more,toilet,22.471697,88.3892366
Pay and use Toilet,toilet,22.4498592,88.3913835
Pay and use toilet,toilet,22.4632797,88.3854439
Pay and use toilet,toilet,22.4656732,88.3928086
